ZIP,BLDGNO1,STREET1,STSUFX1,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,full_address
11212,681,RALPH,AVE,J-51,ARTICLES,14,&,15,3509,12,681 RALPH AVE
11212,725,RALPH,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3531,21,725 RALPH AVE
11212,94,TO 106 REMSEN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,4592,12,94 TO 106 REMSEN AVE
11212,421,REMSEN,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,4665,67,421 REMSEN AVE
11212,431,REMSEN,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,4665,65,431 REMSEN AVE
11212,61,TO 71 RIVERDALE,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3583,1,61 TO 71 RIVERDALE AVE
11212,83,TO 89 RIVERDALE,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3584,4,83 TO 89 RIVERDALE AVE
11212,230,RIVERDALE,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3603,25,230 RIVERDALE AVE
11212,70,ROCKAWAY,PKWY,61,BROOKLYN,MULTIPLE,DWELLING,A,4599,38,70 ROCKAWAY PKWY
11212,82,TO 92 ROCKAWAY,PKWY,61,BROOKLYN,MULTIPLE,DWELLING,A,4615,6,82 TO 92 ROCKAWAY PKWY
11212,94,TO 104 ROCKAWAY,PKWY,61,BROOKLYN,MULTIPLE,DWELLING,A,4615,11,94 TO 104 ROCKAWAY PKWY
11212,129,ROCKAWAY,PKWY,61,BROOKLYN,MULTIPLE,DWELLING,A,4616,63,129 ROCKAWAY PKWY
11212,131,ROCKAWAY,PKWY,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,4616,62,131 ROCKAWAY PKWY
11212,154,ROCKAWAY,PKWY,61,BROOKLYN,MULTIPLE,DWELLING,A,4615,36,154 ROCKAWAY PKWY
11212,155,ROCKAWAY,PKWY,61,BROOKLYN,MULTIPLE,DWELLING,A,4616,52,155 ROCKAWAY PKWY
11212,165,ROCKAWAY,PKWY,61,BROOKLYN,MULTIPLE,DWELLING,A,4633,1,165 ROCKAWAY PKWY
11212,166,TO 176 ROCKAWAY,PKWY,61,BROOKLYN,MULTIPLE,DWELLING,A,4632,6,166 TO 176 ROCKAWAY PKWY
